Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 69 milliseconds, 699543 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 70 milliseconds, 707476 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 64 milliseconds, 644848 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 74 milliseconds, 745082 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 66 milliseconds, 663431 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 68 milliseconds, 682187 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 67 milliseconds, 676268 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 70 milliseconds, 706435 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 63 milliseconds, 633194 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 66 milliseconds, 667929 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 69 milliseconds, 697372 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 67 milliseconds, 672835 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 73 milliseconds, 733604 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 64 milliseconds, 641135 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 65 milliseconds, 656866 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 62 milliseconds, 621008 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 72 milliseconds, 727573 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 67 milliseconds, 675273 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 62 milliseconds, 625890 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 70 milliseconds, 707015 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 64 milliseconds, 643602 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 69 milliseconds, 692142 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 63 milliseconds, 634652 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 72 milliseconds, 729229 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 63 milliseconds, 632839 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 63 milliseconds, 633645 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 68 milliseconds, 689396 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 63 milliseconds, 638626 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 73 milliseconds, 737875 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 67 milliseconds, 675198 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 58 milliseconds, 587482 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 68 milliseconds, 689421 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 67 milliseconds, 676481 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 59 milliseconds, 591870 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 67 milliseconds, 676431 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 67 milliseconds, 673598 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 62 milliseconds, 625244 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 76 milliseconds, 766559 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 65 milliseconds, 655780 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 61 milliseconds, 615160 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 68 milliseconds, 685583 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 58 milliseconds, 584188 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 70 milliseconds, 700505 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 60 milliseconds, 601853 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 59 milliseconds, 595840 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 69 milliseconds, 696200 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 60 milliseconds, 603355 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 64 milliseconds, 649273 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 59 milliseconds, 593985 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 67 milliseconds, 676504 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 63 milliseconds, 635250 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 63 milliseconds, 635184 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 68 milliseconds, 684998 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 62 milliseconds, 627305 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 66 milliseconds, 665054 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 62 milliseconds, 621361 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 68 milliseconds, 683456 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 60 milliseconds, 603367 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 65 milliseconds, 657889 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 60 milliseconds, 602532 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 67 milliseconds, 674176 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 59 milliseconds, 593222 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 59 milliseconds, 595104 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 68 milliseconds, 688095 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 66 milliseconds, 662444 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 62 milliseconds, 623818 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 69 milliseconds, 699144 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 58 milliseconds, 587263 ticks
